origin_lat,origin_lon,dest_lat,dest_lon,timestamp,vehicle_type,trip_distance,trip_duration,fare,traffic_condition,weather,passenger_count,driver_rating,surge_multiplier
12.979952,77.631583,12.970277,77.633919,2024-02-22 20:06:20,Auto,1.43,7.7,68.82,High,Cloudy,1,4.3,1.8
12.982082,77.645517,12.965,77.759711,2024-02-19 16:06:17,SUV,16.17,75.7,448.37,Heavy Rain,Rainy,6,4.1,1.56
12.921645,77.646827,12.918809,77.614474,2024-02-09 11:18:56,Mini,4.55,24.6,141.39,High,Sunny,2,3.5,1.8
12.84551,77.665006,13.190248,77.706128,2024-02-26 03:27:18,Mini,50.08,135.2,853.75,Free Flow,Sunny,1,4.9,0.9
12.997874,77.559657,12.927531,77.575645,2024-02-13 17:41:35,SUV,10.39,56.1,308.93,High,Sunny,6,4.8,1.8
13.043079,77.592083,12.981141,77.590544,2024-01-02 13:28:37,Auto,8.94,34.9,199.59,Medium,Sunny,1,4.7,1.3
12.917314,77.543531,12.997125,77.571185,2024-02-05 10:08:29,SUV,12.15,65.6,344.21,High,Sunny,1,4.0,1.8
12.963644,77.693372,12.96598,77.644623,2024-01-17 16:25:05,Prime,6.83,26.6,171.95,Medium,Sunny,4,3.8,1.3
13.028056,77.604176,12.933678,77.629347,2024-02-15 07:41:41,Bike,14.07,54.9,281.1,Medium,Sunny,1,4.0,1.3
12.968425,77.586558,13.003699,77.563184,2024-01-10 06:58:54,SUV,6.05,23.6,208.01,Medium,Sunny,2,4.9,1.3
12.953859,77.702618,12.960695,77.747674,2024-02-09 11:43:46,Mini,6.38,34.5,178.3,High,Sunny,3,4.4,1.8
12.963099,77.704367,12.984004,77.563956,2024-01-03 17:16:22,Prime,19.88,107.4,449.66,High,Sunny,1,3.9,1.8
13.043543,77.601514,12.929839,77.556425,2024-02-18 12:26:44,Prime,17.58,82.3,422.8,Heavy Rain,Rainy,4,4.9,1.56
12.953804,77.705987,12.962323,77.632466,2024-01-11 04:32:15,SUV,10.36,28.0,266.34,Free Flow,Sunny,3,3.6,0.9
12.96739,77.598849,12.993017,77.558274,2024-02-06 12:59:11,SUV,6.78,31.7,251.79,Heavy Rain,Rainy,5,4.5,1.56
12.926677,77.581137,12.929024,77.553703,2024-02-08 08:34:04,Auto,3.85,20.8,117.48,High,Cloudy,1,4.5,1.8
12.965771,77.742317,12.971047,77.60399,2024-01-02 13:58:00,Mini,19.38,75.6,395.88,Medium,Sunny,4,4.7,1.3
12.959283,77.697881,13.027714,77.591437,2024-02-07 19:05:19,Prime,17.87,96.5,409.27,High,Sunny,2,4.4,1.8
12.997453,77.57159,12.978675,77.637505,2024-02-15 11:37:44,Prime,9.62,51.9,243.28,High,Sunny,1,4.1,1.8
12.931924,77.585451,12.975238,77.588011,2024-01-21 09:42:13,Auto,6.26,33.8,165.84,High,Sunny,2,3.6,1.8
12.953523,77.693099,12.911222,77.638807,2024-01-25 04:49:00,Mini,9.75,26.3,206.44,Free Flow,Sunny,3,4.1,0.9
13.033419,77.606351,12.962103,77.648561,2024-02-19 15:51:08,SUV,11.87,46.3,311.81,Medium,Sunny,3,4.8,1.3
12.95493,77.698886,12.954458,77.63307,2024-01-19 19:01:08,Mini,9.21,49.7,235.17,High,Cloudy,4,3.6,1.8
13.039483,77.593003,12.984271,77.642364,2024-02-29 12:03:36,SUV,10.55,41.1,288.24,Medium,Sunny,6,3.7,1.3
12.932931,77.623426,12.966562,77.756517,2024-01-15 18:28:54,Bike,19.25,104.0,416.94,High,Sunny,1,3.6,1.8
12.959229,77.693619,12.930193,77.547841,2024-02-18 15:10:25,Prime,20.83,81.2,421.82,Medium,Sunny,3,4.4,1.3
13.007381,77.566587,12.935087,77.586463,2024-02-23 19:35:18,Auto,10.8,70.0,301.95,Heavy Rain,Rainy,3,4.3,2.16
12.982198,77.648959,12.908773,77.607605,2024-01-08 09:27:46,Mini,12.07,65.2,292.67,High,Sunny,2,4.6,1.8
12.978636,77.631027,12.914019,77.613923,2024-01-30 01:50:36,SUV,9.63,26.0,254.51,Free Flow,Sunny,4,4.6,0.9
12.952226,77.632737,12.976839,77.633337,2024-02-23 20:50:11,Auto,3.55,19.2,111.41,High,Sunny,2,3.6,1.8
12.908972,77.604897,12.958624,77.690212,2024-01-11 23:03:27,Mini,13.93,37.6,273.52,Free Flow,Sunny,1,4.7,0.9
12.938017,77.625059,12.989564,77.55698,2024-02-07 01:21:39,Mini,12.09,32.6,244.02,Free Flow,Sunny,2,4.6,0.9
13.042631,77.606745,12.987618,77.547513,2024-02-15 01:17:48,Auto,11.48,31.0,224.23,Free Flow,Sunny,3,3.5,0.9
12.969069,77.635661,12.908943,77.63696,2024-02-29 08:24:25,Auto,8.68,46.9,214.43,High,Cloudy,3,4.7,1.8
12.961103,77.702435,12.917884,77.55562,2024-01-23 13:52:39,Mini,21.48,83.8,433.33,Medium,Sunny,3,4.2,1.3
13.010422,77.573221,12.971703,77.649797,2024-01-15 22:06:36,Bike,12.09,56.6,285.89,Heavy Rain,Rainy,1,3.7,1.56
12.983348,77.6316,12.970079,77.758003,2024-01-13 01:43:32,Bike,17.8,48.0,315.63,Free Flow,Sunny,1,3.6,0.9
12.969273,77.638647,12.967023,77.706688,2024-01-16 08:35:51,Mini,9.53,51.5,241.54,High,Sunny,3,4.4,1.8
12.920828,77.589968,12.914105,77.635093,2024-02-05 20:08:58,SUV,6.39,34.5,228.45,High,Sunny,3,4.9,1.8
13.027099,77.598218,12.96061,77.741558,2024-02-12 09:26:33,Prime,22.24,120.1,497.01,High,Sunny,4,3.8,1.8
12.950405,77.704253,12.970654,77.601878,2024-01-01 20:30:57,Prime,14.62,79.0,343.95,High,Sunny,2,3.8,1.8
13.030841,77.592717,12.980451,77.639819,2024-02-17 02:02:43,Mini,9.82,31.8,237.03,Heavy Rain,Rainy,4,4.8,1.08
12.952588,77.629863,12.991231,77.556598,2024-01-03 13:15:39,Bike,11.67,45.5,238.36,Medium,Sunny,1,3.8,1.3
12.96121,77.75344,12.910414,77.601357,2024-02-06 18:24:39,Prime,22.51,121.6,502.53,High,Sunny,1,4.8,1.8
12.958905,77.693273,12.957572,77.641591,2024-02-13 12:55:01,Auto,7.24,28.2,169.17,Medium,Sunny,2,4.4,1.3
12.985631,77.55717,12.853882,77.655639,2024-02-11 14:24:20,Prime,23.48,91.6,469.15,Medium,Sunny,4,4.3,1.3
13.037379,77.59384,12.935136,77.625947,2024-02-05 06:15:27,Bike,15.42,60.1,305.3,Medium,Cloudy,1,3.8,1.3
12.963444,77.703974,12.929507,77.542725,2024-01-23 13:00:37,Bike,23.1,90.1,442.25,Medium,Cloudy,1,3.6,1.3
13.026191,77.60586,12.98493,77.552209,2024-01-13 08:07:17,SUV,9.58,62.1,338.97,Heavy Rain,Rainy,1,3.8,2.16
12.952217,77.69319,12.965061,77.631167,2024-02-18 10:27:05,Mini,8.88,47.9,228.43,High,Cloudy,3,3.5,1.8
12.968909,77.752167,12.837803,77.664296,2024-02-24 18:54:31,Mini,22.57,121.9,503.56,High,Cloudy,2,4.9,1.8
13.207727,77.699294,12.942595,77.618118,2024-02-19 21:14:01,Prime,39.91,215.5,852.19,High,Sunny,4,5.0,1.8
12.953831,77.647471,12.921358,77.618292,2024-01-23 17:34:35,SUV,6.22,33.6,224.94,High,Sunny,5,4.1,1.8
12.847655,77.6602,12.975765,77.637357,2024-01-30 07:43:24,Bike,18.76,73.2,364.88,Medium,Cloudy,1,4.8,1.3
12.957445,77.697781,12.987285,77.644164,2024-02-28 12:30:50,Auto,8.65,33.7,194.44,Medium,Sunny,1,3.7,1.3
13.18872,77.697369,12.849367,77.65696,2024-02-04 22:40:05,Prime,49.29,192.2,929.9,Medium,Sunny,2,4.3,1.3
12.835605,77.660556,12.932508,77.631595,2024-02-13 13:32:40,SUV,14.56,56.8,359.87,Medium,Sunny,2,4.2,1.3
12.920995,77.652556,13.201458,77.710187,2024-02-22 13:31:44,Prime,41.27,193.1,918.39,Heavy Rain,Rainy,3,4.4,1.56
12.931342,77.576119,12.964098,77.634426,2024-02-23 05:42:02,Auto,9.43,25.5,191.37,Free Flow,Sunny,1,3.9,0.9
12.970712,77.643095,13.027914,77.590758,2024-02-04 08:49:54,Auto,11.04,59.6,261.83,High,Sunny,3,4.3,1.8
12.909261,77.643183,12.921984,77.577726,2024-01-22 16:03:28,Auto,9.34,36.4,206.79,Medium,Cloudy,2,3.8,1.3
12.978777,77.650201,12.923998,77.544985,2024-01-12 22:22:28,Prime,16.71,65.2,348.35,Medium,Sunny,3,4.0,1.3
12.960999,77.75079,12.838423,77.654852,2024-01-20 08:35:52,Prime,22.21,119.9,496.37,High,Cloudy,4,4.2,1.8
12.981732,77.640764,13.027287,77.589238,2024-02-02 07:56:16,Bike,9.76,38.1,204.19,Medium,Sunny,1,4.9,1.3
12.987669,77.639491,12.909347,77.60564,2024-01-26 18:28:08,Prime,12.25,66.2,296.32,High,Sunny,4,4.9,1.8
12.91715,77.605039,12.972562,77.754773,2024-01-19 18:46:24,Bike,22.43,121.1,480.88,High,Sunny,1,3.5,1.8
13.193699,77.697063,12.998744,77.560435,2024-02-08 14:53:28,Auto,34.02,159.2,755.7,Heavy Rain,Rainy,1,4.7,1.56
12.938372,77.584682,12.960785,77.705251,2024-02-06 06:20:46,SUV,17.18,67.0,406.72,Medium,Sunny,3,4.9,1.3
12.933617,77.62252,12.922656,77.592535,2024-02-27 09:11:00,Mini,4.49,24.2,140.15,High,Sunny,4,3.9,1.8
12.933044,77.590016,12.916847,77.540792,2024-01-27 23:04:18,Auto,7.28,19.6,156.77,Free Flow,Sunny,2,4.4,0.9
12.974176,77.759027,12.839606,77.660859,2024-02-13 20:50:43,Auto,23.79,128.5,518.15,High,Sunny,2,4.4,1.8
12.941734,77.623128,12.835779,77.666799,2024-01-21 14:55:53,Auto,16.47,64.2,333.92,Medium,Sunny,3,4.9,1.3
13.006042,77.567426,12.962051,77.629793,2024-01-11 04:13:11,Bike,10.79,29.1,203.24,Free Flow,Cloudy,1,4.2,0.9
13.011779,77.556209,12.925486,77.57768,2024-02-17 13:36:33,SUV,12.81,50.0,328.65,Medium,Sunny,3,3.8,1.3
12.967961,77.599148,12.837969,77.650959,2024-01-06 16:13:24,Bike,20.11,78.4,388.98,Medium,Sunny,1,4.7,1.3
13.035852,77.604279,12.979689,77.752401,2024-02-08 22:43:18,SUV,22.26,86.8,497.35,Medium,Sunny,6,4.7,1.3
12.969354,77.759102,12.92345,77.580389,2024-01-14 05:51:06,SUV,25.88,69.9,515.32,Free Flow,Sunny,2,3.7,0.9
13.195604,77.703772,12.939469,77.585805,2024-02-28 03:46:56,Mini,40.48,109.3,699.72,Free Flow,Cloudy,1,4.6,0.9
12.957822,77.639825,12.835585,77.656086,2024-02-08 05:00:47,Mini,17.79,48.0,335.45,Free Flow,Sunny,3,4.0,0.9
12.909897,77.641668,12.965288,77.702046,2024-03-01 13:27:11,Mini,11.63,45.4,257.64,Medium,Cloudy,3,4.0,1.3
12.962655,77.589084,13.044246,77.589198,2024-01-07 08:28:02,SUV,11.77,63.6,336.65,High,Cloudy,3,4.1,1.8
12.926593,77.614996,12.969191,77.595528,2024-01-30 16:20:19,Mini,6.72,26.2,170.02,Medium,Sunny,4,4.2,1.3
12.840033,77.656254,12.936295,77.586068,2024-02-04 01:46:54,SUV,17.01,45.9,373.07,Free Flow,Cloudy,2,4.3,0.9
12.943864,77.631441,12.993693,77.557483,2024-02-25 20:34:27,Prime,12.6,68.1,303.34,High,Cloudy,1,3.9,1.8
12.990619,77.563013,12.931368,77.631062,2024-02-15 02:32:22,Bike,12.8,34.6,235.43,Free Flow,Sunny,1,4.6,0.9
